economy,Country,SP.POP.TOTL,NY.GDP.MKTP.PP.KD,Total Population (millions),GDP (billions $),Gold,Silver,Bronze,Total,GDP (bn) / Total_Medals,Year,Continent
HKG,"Hong Kong SAR, China",6957800,3.46E+11,6.96,346.42,0,0,0,0,,2008,Asia
GUY,Guyana,746815,6805172582,0.75,6.81,0,0,0,0,,2008,South America
GTM,Guatemala,13739299,1.01E+11,13.74,101.19,0,0,0,0,,2008,North America
GRD,Grenada,105457,1533540027,0.11,1.53,0,0,0,0,,2008,North America
GRC,Greece,11077841,4.14E+11,11.08,414.25,0,2,1,3,138.08,2008,Europe
GNQ,Equatorial Guinea,860839,35509166778,0.86,35.51,0,0,0,0,,2008,Africa
GNB,Guinea-Bissau,1446936,2460204322,1.45,2.46,0,0,0,0,,2008,Africa
GMB,"Gambia, The",1689288,3725073280,1.69,3.73,0,0,0,0,,2008,Africa
GIN,Guinea,9738796,18398416052,9.74,18.4,0,0,0,0,,2008,Africa
GHA,Ghana,23563832,83858706162,23.56,83.86,0,0,0,0,,2008,Africa
GEO,Georgia,3848449,36016150959,3.85,36.02,3,2,2,7,5.15,2008,Asia
GBR,United Kingdom,61806995,2.71E+12,61.81,2705.15,19,13,19,51,53.04,2008,Europe
GAB,Gabon,1518538,21834287970,1.52,21.83,0,0,0,0,,2008,Africa
FSM,"Micronesia, Fed. Sts.",103549,364331237.6,0.1,0.36,0,0,0,0,,2008,Oceania
FRA,France,64374979,2.77E+12,64.37,2767.88,7,16,20,43,64.37,2008,Europe
FJI,Fiji,845356,8932796884,0.85,8.93,0,0,0,0,,2008,Oceania
FIN,Finland,5313399,2.59E+11,5.31,259.39,1,1,2,4,64.85,2008,Europe
ETH,Ethiopia,82916236,90105030164,82.92,90.11,4,2,1,7,12.87,2008,Africa
EST,Estonia,1337090,39606965135,1.34,39.61,1,1,0,2,19.81,2008,Europe
ESP,Spain,45954106,1.80E+12,45.95,1803.26,5,11,3,19,94.91,2008,Europe
EGY,"Egypt, Arab Rep.",79636081,7.78E+11,79.64,777.53,0,0,2,2,388.77,2008,Africa
ECU,Ecuador,14535740,1.49E+11,14.54,149.1,0,1,0,1,149.10,2008,South America
DZA,Algeria,34730604,3.75E+11,34.73,374.98,0,1,1,2,187.49,2008,Africa
DOM,Dominican Republic,9458079,1.13E+11,9.46,113.32,1,1,0,2,56.66,2008,North America
DNK,Denmark,5493621,2.91E+11,5.49,291.07,2,2,3,7,41.58,2008,Europe
DMA,Dominica,70829,855107711.7,0.07,0.86,0,0,0,0,,2008,North America
DEU,Germany,82110097,3.91E+12,82.11,3911.99,16,11,14,41,95.41,2008,Europe
CZE,Czech Republic,10384603,3.59E+11,10.38,359.1,3,3,1,7,51.30,2008,Europe
CYP,Cyprus,1081568,31778145923,1.08,31.78,0,0,0,0,,2008,Asia
CYM,Cayman Islands,53835,4198482248,0.05,4.2,0,0,0,0,,2008,North America
CRI,Costa Rica,4463123,73763980088,4.46,73.76,0,0,0,0,,2008,North America
CPV,Cabo Verde,480846,3049142810,0.48,3.05,0,0,0,0,,2008,Africa
COM,Comoros,657227,1853155856,0.66,1.85,0,0,0,0,,2008,Africa
COL,Colombia,44254972,5.04E+11,44.25,504.21,0,2,1,3,168.07,2008,South America
COG,"Congo, Rep.",4011487,18001056072,4.01,18,0,0,0,0,,2008,Africa
COD,"Congo, Dem. Rep.",60411195,50734263154,60.41,50.73,0,0,0,0,,2008,Africa
CMR,Cameroon,19252674,62120590885,19.25,62.12,1,0,0,1,62.12,2008,Africa
CIV,Cote d'Ivoire,19605568,70080446901,19.61,70.08,0,0,0,0,,2008,Africa
CHN,China,1324655000,9.82E+12,1324.66,9819.5,48,22,30,100,98.20,2008,Asia
CHL,Chile,16708255,3.48E+11,16.71,348.21,0,1,0,1,348.21,2008,South America
CHE,Switzerland,7647675,5.09E+11,7.65,509.33,2,1,4,7,72.76,2008,Europe
CAN,Canada,33247118,1.52E+12,33.25,1524.43,3,9,8,20,76.22,2008,North America
CAF,Central African Republic,4273368,4638485655,4.27,4.64,0,0,0,0,,2008,Africa
BWA,Botswana,1915636,26016576245,1.92,26.02,0,0,0,0,,2008,Africa
BTN,Bhutan,671611,4698442335,0.67,4.7,0,0,0,0,,2008,Asia
BRN,Brunei Darussalam,379418,26125267157,0.38,26.13,0,0,0,0,,2008,Asia
BRB,Barbados,279946,4744152749,0.28,4.74,0,0,0,0,,2008,North America
