areaCode,areaName,areaType,date,newCasesBySpecimenDate
W06000015,Cardiff,ltla,07/04/2021,19
W06000015,Cardiff,ltla,06/04/2021,20
W06000015,Cardiff,ltla,05/04/2021,14
W06000015,Cardiff,ltla,04/04/2021,15
W06000015,Cardiff,ltla,03/04/2021,12
W06000015,Cardiff,ltla,02/04/2021,15
W06000015,Cardiff,ltla,01/04/2021,21
W06000015,Cardiff,ltla,31/03/2021,22
W06000015,Cardiff,ltla,30/03/2021,32
W06000015,Cardiff,ltla,29/03/2021,25
W06000015,Cardiff,ltla,28/03/2021,11
W06000015,Cardiff,ltla,27/03/2021,11
W06000015,Cardiff,ltla,26/03/2021,22
W06000015,Cardiff,ltla,25/03/2021,20
W06000015,Cardiff,ltla,24/03/2021,23
W06000015,Cardiff,ltla,23/03/2021,8
W06000015,Cardiff,ltla,22/03/2021,18
W06000015,Cardiff,ltla,21/03/2021,10
W06000015,Cardiff,ltla,20/03/2021,14
W06000015,Cardiff,ltla,19/03/2021,23
W06000015,Cardiff,ltla,18/03/2021,27
W06000015,Cardiff,ltla,17/03/2021,18
W06000015,Cardiff,ltla,16/03/2021,14
W06000015,Cardiff,ltla,15/03/2021,14
W06000015,Cardiff,ltla,14/03/2021,11
W06000015,Cardiff,ltla,13/03/2021,15
W06000015,Cardiff,ltla,12/03/2021,12
W06000015,Cardiff,ltla,11/03/2021,30
W06000015,Cardiff,ltla,10/03/2021,20
W06000015,Cardiff,ltla,09/03/2021,17
W06000015,Cardiff,ltla,08/03/2021,17
W06000015,Cardiff,ltla,07/03/2021,14
W06000015,Cardiff,ltla,06/03/2021,16
W06000015,Cardiff,ltla,05/03/2021,7
W06000015,Cardiff,ltla,04/03/2021,21
W06000015,Cardiff,ltla,03/03/2021,31
W06000015,Cardiff,ltla,02/03/2021,35
W06000015,Cardiff,ltla,01/03/2021,15
W06000015,Cardiff,ltla,28/02/2021,20
W06000015,Cardiff,ltla,27/02/2021,15
W06000015,Cardiff,ltla,26/02/2021,22
W06000015,Cardiff,ltla,25/02/2021,27
W06000015,Cardiff,ltla,24/02/2021,19
W06000015,Cardiff,ltla,23/02/2021,31
W06000015,Cardiff,ltla,22/02/2021,39
W06000015,Cardiff,ltla,21/02/2021,27
W06000015,Cardiff,ltla,20/02/2021,34
W06000015,Cardiff,ltla,19/02/2021,55
W06000015,Cardiff,ltla,18/02/2021,58
W06000015,Cardiff,ltla,17/02/2021,55
W06000015,Cardiff,ltla,16/02/2021,68
W06000015,Cardiff,ltla,15/02/2021,65
W06000015,Cardiff,ltla,14/02/2021,46
W06000015,Cardiff,ltla,13/02/2021,30
W06000015,Cardiff,ltla,12/02/2021,67
W06000015,Cardiff,ltla,11/02/2021,51
W06000015,Cardiff,ltla,10/02/2021,61
W06000015,Cardiff,ltla,09/02/2021,74
W06000015,Cardiff,ltla,08/02/2021,50
W06000015,Cardiff,ltla,07/02/2021,37
W06000015,Cardiff,ltla,06/02/2021,45
W06000015,Cardiff,ltla,05/02/2021,48
W06000015,Cardiff,ltla,04/02/2021,56
W06000015,Cardiff,ltla,03/02/2021,56
W06000015,Cardiff,ltla,02/02/2021,50
W06000015,Cardiff,ltla,01/02/2021,64
W06000015,Cardiff,ltla,31/01/2021,30
W06000015,Cardiff,ltla,30/01/2021,58
W06000015,Cardiff,ltla,29/01/2021,56
W06000015,Cardiff,ltla,28/01/2021,65
W06000015,Cardiff,ltla,27/01/2021,88
W06000015,Cardiff,ltla,26/01/2021,72
W06000015,Cardiff,ltla,25/01/2021,74
W06000015,Cardiff,ltla,24/01/2021,50
W06000015,Cardiff,ltla,23/01/2021,50
W06000015,Cardiff,ltla,22/01/2021,77
W06000015,Cardiff,ltla,21/01/2021,111
W06000015,Cardiff,ltla,20/01/2021,94
W06000015,Cardiff,ltla,19/01/2021,119
W06000015,Cardiff,ltla,18/01/2021,120
W06000015,Cardiff,ltla,17/01/2021,101
W06000015,Cardiff,ltla,16/01/2021,107
W06000015,Cardiff,ltla,15/01/2021,160
W06000015,Cardiff,ltla,14/01/2021,164
W06000015,Cardiff,ltla,13/01/2021,154
W06000015,Cardiff,ltla,12/01/2021,172
W06000015,Cardiff,ltla,11/01/2021,178
W06000015,Cardiff,ltla,10/01/2021,104
W06000015,Cardiff,ltla,09/01/2021,143
W06000015,Cardiff,ltla,08/01/2021,146
W06000015,Cardiff,ltla,07/01/2021,184
W06000015,Cardiff,ltla,06/01/2021,229
W06000015,Cardiff,ltla,05/01/2021,239
W06000015,Cardiff,ltla,04/01/2021,236
W06000015,Cardiff,ltla,03/01/2021,165
W06000015,Cardiff,ltla,02/01/2021,201
W06000015,Cardiff,ltla,01/01/2021,98
W06000015,Cardiff,ltla,31/12/2020,200
W06000015,Cardiff,ltla,30/12/2020,286
W06000015,Cardiff,ltla,29/12/2020,407
W06000015,Cardiff,ltla,28/12/2020,262
W06000015,Cardiff,ltla,27/12/2020,279
W06000015,Cardiff,ltla,26/12/2020,231
W06000015,Cardiff,ltla,25/12/2020,59
W06000015,Cardiff,ltla,24/12/2020,147
W06000015,Cardiff,ltla,23/12/2020,297
W06000015,Cardiff,ltla,22/12/2020,339
W06000015,Cardiff,ltla,21/12/2020,341
W06000015,Cardiff,ltla,20/12/2020,249
W06000015,Cardiff,ltla,19/12/2020,316
W06000015,Cardiff,ltla,18/12/2020,327
W06000015,Cardiff,ltla,17/12/2020,387
W06000015,Cardiff,ltla,16/12/2020,470
